Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_212_State";Mon Aug 21 2023 11:17:50 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_213_State";Mon Aug 21 2023 11:17:50 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_214_State";Mon Aug 21 2023 11:17:50 GMT+0300 (Москва, стандартное время);"1";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_FI_200C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"28.76072";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_FI_200F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"27.41217";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_FI_200R_Value";Mon Aug 21 2023 11:25:17 GMT+0300 (Москва, стандартное время);"-0.6329724";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_LI_210A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-3.586041";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_200B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"6.195989";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_200E_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"3.3563268";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_200H_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-106.65162";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_200I_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-116.19992";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_208B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-1194.4397";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_208D_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-141.30609";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_209B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-316.08905";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_210B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"3.4269624";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_211A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-3.7731714";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_PI_211B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-2.4107194";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_200A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"105.20795";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_200D_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"308.33078";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_200G_Value";Mon Aug 21 2023 11:17:50 GMT+0300 (Москва, стандартное время);"500";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_208A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"255.93031";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_208C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"248.24109";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_208E_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"27.01081";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_208F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"161.42665";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_209A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"421.0688";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_209C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"242.70949";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_216A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"243.0109";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_216B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"322.50433";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_TI_216C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"241.96878";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_201A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-1.736684";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_202A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"35.731674";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_203A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"46.152065";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_204A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"94.42294";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_205A_Value";Mon Aug 21 2023 11:26:07 GMT+0300 (Москва, стандартное время);"99.2331";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam2.Boiler2_ZI_206A_Value";Mon Aug 21 2023 11:25:17 GMT+0300 (Москва, стандартное время);"-3.2118058";Good;0;"";"";
