Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"KRAZ.DP.S2.ZZ.ZZZZ00.T.T.T_Gas_In_G_Flue.PV.R";Mon Aug 21 2023 11:28:23 GMT+0300 (Москва, стандартное время);"60";Good;0;"";"";
"KRAZ.DP.S2.ZZ.ZZZZ00.T.T.some_tag2.PV.R";Mon Aug 21 2023 11:28:24 GMT+0300 (Москва, стандартное время);"80";Good;0;"";"";
"rusal.kraz.5-1.1.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.1.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0.4000000059604645";Good;0;"";"";
"rusal.kraz.5-1.1.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"rusal.kraz.5-1.2";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"0.9664351940155029";Good;0;"";"";
"rusal.kraz.5-1.2.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2.5";Good;0;"";"";
"rusal.kraz.5-1.2.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0.4999999701976776";Good;0;"";"";
"rusal.kraz.5-1.2.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"rusal.kraz.5-1.3";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"1.2413194179534912";Good;0;"";"";
"rusal.kraz.5-1.4";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"1.301360011100769";Good;0;"";"";
"rusal.kraz.5-1.5";Mon Aug 21 2023 11:26:29 GMT+0300 (Москва, стандартное время);"91.75347137451172";Good;0;"";"";
"rusal.kraz.5-1.6";Mon Aug 21 2023 11:26:44 GMT+0300 (Москва, стандартное время);"120.22569274902344";Good;0;"";"";
"rusal.kraz.5-1.7";Mon Aug 21 2023 11:25:44 GMT+0300 (Москва, стандартное время);"124.73958587646484";Good;0;"";"";
"rusal.kraz.5-1.8";Mon Aug 21 2023 11:24:14 GMT+0300 (Москва, стандартное время);"100.26041412353516";Good;0;"";"";
"rusal.kraz.5-1.3.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.4.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.5.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.6.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.7.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.8.LB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"rusal.kraz.5-1.3.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2.5";Good;0;"";"";
"rusal.kraz.5-1.4.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2.5";Good;0;"";"";
"rusal.kraz.5-1.5.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"300";Good;0;"";"";
"rusal.kraz.5-1.6.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"300";Good;0;"";"";
"rusal.kraz.5-1.7.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"300";Good;0;"";"";
"rusal.kraz.5-1.8.HB";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"300";Good;0;"";"";
"rusal.kraz.5-1.3.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0.4999999701976776";Good;0;"";"";
"rusal.kraz.5-1.4.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"0.4999999701976776";Good;0;"";"";
"rusal.kraz.5-1.5.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"60";Good;0;"";"";
"rusal.kraz.5-1.6.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"50";Good;0;"";"";
"rusal.kraz.5-1.7.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"60";Good;0;"";"";
"rusal.kraz.5-1.8.Lo";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"60";Good;0;"";"";
"rusal.kraz.5-1.3.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2";Good;0;"";"";
"rusal.kraz.5-1.4.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"2.200000047683716";Good;0;"";"";
"rusal.kraz.5-1.5.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"200";Good;0;"";"";
"rusal.kraz.5-1.6.Hi";Fri Aug 18 2023 11:00:29 GMT+0300 (Москва, стандартное время);"200";Good;0;"";"";
