Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"KRAZ.EC.CO.UZ2.ZZZZ00.T.F.Cons_press_coll_1.PV.R";Mon Aug 21 2023 13:33:44 GMT+0300 (Москва, стандартное время);"120";Good;0;"";"";
"KRAZ.EC.CO.UZ2.ZZZZ00.T.P.P_press_coll_1.PV.R";Mon Aug 21 2023 13:32:45 GMT+0300 (Москва, стандартное время);"9.382233619689941";Good;0;"";"";
"KRAZ.EC.CO.UZ2.ZZZZ00.T.T.T_press_coll_1.PV.R";Mon Aug 21 2023 13:23:24 GMT+0300 (Москва, стандартное время);"25.43402862548828";Good;0;"";"";
"KRAZ.EC.CO.UZ2.ZZZZ00.T.F.Cons_press_coll_2.PV.R";Mon Aug 21 2023 13:33:46 GMT+0300 (Москва, стандартное время);"124";Good;0;"";"";
"KRAZ.EC.CO.UZ2.ZZZZ00.T.P.P_press_coll_2.PV.R";Mon Aug 21 2023 13:33:44 GMT+0300 (Москва, стандартное время);"9";Good;0;"";"";
"KRAZ.EC.CO.UZ2.ZZZZ00.T.T.T_press_coll_2.PV.R";Mon Aug 21 2023 13:28:30 GMT+0300 (Москва, стандартное время);"24.95659637451172";Good;0;"";"";
"Kraz_Electroliz_1";Mon Aug 21 2023 11:41:30 GMT+0300 (Москва, стандартное время);"4139.3681640625";Good;0;"";"";
"Kraz_Electroliz_2";Mon Aug 21 2023 11:32:00 GMT+0300 (Москва, стандартное время);"1";Good;0;"";"";
"Kraz_Electroliz_3";Mon Jul 17 2023 09:03:25 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_AS_SRV2.ODA_N.List of all tags.SumH";Mon Aug 21 2023 11:32:52 GMT+0300 (Москва, стандартное время);"65161.145";Good;0;"";"";
"EN_AS_SRV3.OUA_R.WinCC.@LOCALMACHINE::.List of all tags.regulator_Pessure_output";Thu Jul 06 2023 11:22:06 GMT+0300 (Москва, стандартное время);"0.24244195";Good;0;"";"";
"EN_HS_SRV1.OUA_R.Boiler.F_dDir_delW_ELC23";Mon Aug 21 2023 09:35:55 GMT+0300 (Москва, стандартное время);"-5";Good;0;"";"";
