Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD104";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"2210";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD20";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"4139";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD32";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"4129";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD4";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"28";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD44";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"165";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD56";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"17949";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD68";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"683";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD80";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"7287";Good;0;"";"";
"EP_S1_PLC1.S7_N.Crane11.DB11111_DBD92";Mon Aug 21 2023 11:00:09 GMT+0300 (Москва, стандартное время);"21";Good;0;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD32";;"";;;"";"";
"EP_S5_PLC2.S7_N.Crane53.DB11111_DBD4";Mon Aug 21 2023 06:04:58 GMT+0300 (Москва, стандартное время);"33";Good;0;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC10.S7_N.Crane53.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD32";;"";;;"";"";
"EP_S6_PLC1.S7_N.Crane61.DB11111_DBD4";Fri Aug 18 2023 10:59:25 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC11.S7_N.Crane61.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD32";;"";;;"";"";
"EP_S6_PLC2.S7_N.Crane63.DB11111_DBD4";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"28";Good;0;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC12.S7_N.Crane63.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD104";Mon Aug 21 2023 11:24:39 GMT+0300 (Москва, стандартное время);"365.98834";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD20";Mon Aug 21 2023 11:26:24 GMT+0300 (Москва, стандартное время);"179";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD32";Mon Aug 21 2023 11:26:24 GMT+0300 (Москва, стандартное время);"211";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD4";Mon Aug 21 2023 11:26:39 GMT+0300 (Москва, стандартное время);"28.637306";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD44";Mon Aug 21 2023 11:24:39 GMT+0300 (Москва, стандартное время);"7.0208335";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD56";Mon Aug 21 2023 11:26:39 GMT+0300 (Москва, стандартное время);"753.945";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD68";Mon Aug 21 2023 11:26:09 GMT+0300 (Москва, стандартное время);"23";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD80";Mon Aug 21 2023 11:24:39 GMT+0300 (Москва, стандартное время);"340.85556";Good;0;"";"";
"EP_S1_PLC2.S7_N.Crane13.DB11111_DBD92";Mon Aug 21 2023 11:24:39 GMT+0300 (Москва, стандартное время);"0.10916667";Good;0;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD32";;"";;;"";"";
"EP_S2_PLC1.S7_N.Crane21.DB11111_DBD4";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"35";Good;0;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC3.S7_N.Crane21.DB11111_DBD92";;"";;;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBB58";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBD60";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBD64";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBD68";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"36";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBW56";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBW80";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX125_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX125_4";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX133_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX2_6";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_4";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_5";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_6";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX36_7";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB100_DBX37_0";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
