Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"DB25_DBW52";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"690";Good;0;"";"";
"BRAZ.LP.LO2.LA4.MS5.N1";;"";;;"";"";
"BRAZ.LP.LO2.LA4.MS6.N2";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N3";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N4";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N5";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N6";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N7";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N8";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N9";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N10";;"";;;"";"";
"KRAZ.LP.L1.LA5.LITI01.T.F.MD100.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LA5.LITI01.T.F.MW212.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LA5.LITI01.T.L.MD226.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"247.73117065429688";Good;0;"";"";
"KRAZ.LP.L1.LA5.LITI01.T.T.MD92.PV.R";Wed Aug 16 2023 03:19:04 GMT+0300 (Москва, стандартное время);"24.276620864868164";Good;0;"";"";
"KRAZ.LP.L1.LA5.LITI01.T.S.M170.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LA5.LITI01.T.S.M171.PV.R_MO";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB3.LITE31.T.F.MD100.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"160.53240966796875";Good;0;"";"";
"KRAZ.LP.L1.LB3.LITE31.T.L.MW214.PV.R";Wed Aug 16 2023 03:15:19 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB3.LITE31.T.S.M170.PV.R";Wed Aug 16 2023 01:54:19 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.F.MW212.PV.R";Wed Aug 16 2023 01:48:49 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.S.M171.PV.R_MO";Wed Aug 16 2023 03:15:19 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.F.MD108.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"150.11573791503906";Good;0;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.F.MW218.PV.R";Wed Aug 16 2023 01:39:04 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.L.MW220.PV.R";Wed Aug 16 2023 01:44:34 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.S.M191.PV.R_MO";Wed Aug 16 2023 03:17:04 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB3.LITE32.T.S.M190.PV.R";Wed Aug 16 2023 01:44:34 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LB4.LITE41.T.F.DB5_DBD18.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB4.LITE41.T.F.DB5_DBD78.PV.R";Wed Aug 16 2023 01:52:34 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB4.LITE41.T.L.DB5_DBD68.PV.R";Wed Aug 16 2023 03:08:49 GMT+0300 (Москва, стандартное время);"0.012130164541304111";Good;0;"";"";
"KRAZ.LP.L1.LB4.LITE41.T.S.DB5_DBW1378.PV.R_MO";Wed Aug 16 2023 03:07:04 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB4.LITE42.T.F.DB6_DBD18.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"151.9907684326172";Good;0;"";"";
"KRAZ.LP.L1.LB4.LITE42.T.F.DB6_DBD78.PV.R";Wed Aug 16 2023 02:04:19 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
